"    N+2A in Naphtha Feed, wt%","    Chlorine in Fresh Catalyst, wt%","Carbon in Spent Catalyst, %","    C6P- in Naphtha Feed, wt%","    3R211 Inlet Tem, oC","    3R212 Inlet Temp, oC","    3R213 Inlet Temp, oC","    3R214 Inlet Temp, oC",Feed    Hydrogen,Feed    Methane,Feed    Ethane,Feed    Propane,Feed    n-Butane,Feed    i-Butane,Feed    C4 Naphthenes,Feed    n-Pentane,Feed    C5 i-Paraffins,Feed    C5 Naphthenes,Feed    n-Hexane,Feed    C6 i-Paraffins,Feed    C6 Naphthenes,Feed    Benzene,Feed    n-Heptane,Feed    C7 i-Paraffins,Feed    C7 Naphthenes,Feed    Toluene,Feed    n-Octane,Feed    C8 i-Paraffins,Feed    C8 Naphthenes,Feed    Ethylbenzene,Feed    P-Xylene,Feed    M-Xylene,Feed    O-Xylene,Feed    n-Nonane,Feed    C9 i-Paraffins,Feed    C9 Naphthenes,Feed    C9 Aromtics,Feed    C10+ n-Paraffins,Feed    C10+ i-Paraffins,Feed    C10+ Naphthenes,Feed    C10+ Aromtics,"Product Separator Pressure, kg/cm2_g",H2/HC Ratio
64.42560609909012,0.942,3.78,2.2127039939436326,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.664915679284683,5.142877484559411,7.071456541269191,0.6428596855699263,207.68516344758748,127.03179831472487,35.05061115119592,504.45025524363194,455.97427858821874,1593.2411645059224,276.7859964943741,5590.8076562361575,5086.653682162139,10290.00298674282,3490.786691179485,4645.834971802335,4757.104014352081,5439.5558769539275,969.7681004186985,549.768567157555,1357.2076644324682,1198.9750507470442,2420.306935539938,4738.154649325478,2641.9337349700195,881.7543577666979,324.2940526476132,1176.34827689247,205.43564707696723,253.1373261725397,4.798,1.44
66.16029300396309,0.942,3.78,3.035824108277444,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.358985831277671,5.1195247289057155,7.039346502245357,0.6399405911132144,319.60883553910406,181.69233818855372,47.59285939217134,684.769222266858,618.893033119686,2156.2567190007044,517.6333269804431,5594.84830034561,4826.020346460413,10265.874521289568,3491.7874366935944,4650.585752276309,4758.270549467562,5435.207936587141,969.0816546152672,548.896435861598,1352.34234769836,1159.3558027674767,1782.7219233354842,4373.804929087094,2577.5569320484838,1019.75993435294,474.510490113266,1452.674181329178,293.6781817530416,386.18376637575574,4.798,1.44
66.92127327531158,0.942,3.78,3.81256079347575,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.459000637637112,4.884739236429075,6.716516450089978,0.6105924045536344,345.5597771944158,186.2278797776504,51.501058292015436,973.0758374035134,787.3666482385464,2639.5768723194597,703.5502477069732,5575.958027933601,4258.605241404079,10177.414294761125,3491.8938922651623,4651.963411625963,4757.913054018727,5414.444319451826,964.9452659310573,542.8090007780005,1327.9829332074833,1086.7559103064557,1894.3704664878703,4099.889638046398,2524.3135023818845,1124.5533824463967,525.7617922678687,1623.2926536083926,326.6004025983463,436.9172533832341,4.798,1.44
56.75522146579388,0.942,3.78,2.137202995150675,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.372433433555224,4.672822861272008,6.425131434249012,0.584102857659001,170.96009215715625,106.23909084939103,27.04331918558845,537.9008215774435,458.03111725961253,1443.2372192852015,238.10545324979395,6578.120904761649,5862.555566447548,9649.433708144445,3032.4686679084202,5163.423444485228,5675.794854855771,5070.623381147124,828.5850646347147,469.662406669219,1159.6094846875994,1024.076955991986,2455.049535128547,5429.444704804209,2478.0997899003755,757.7908907692653,239.12724346678505,1022.2040655925734,178.61221230035576,157.32405259672112,4.798,1.44
58.442926212588766,0.942,3.78,2.952312883593862,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.1349838179783167,4.803977476090393,6.605469029624291,0.6004971845112991,291.81179338059593,167.8769158198184,38.988609431749715,704.7518299245631,613.7053353738339,1898.5530294072435,435.57256767571323,6585.221950240487,5590.766896174512,9631.928298811326,3033.485897948751,5169.136850821282,5677.575537881291,5069.191323662564,828.210919426569,469.2344214514696,1156.7460436389388,1000.8636958371325,1774.7775222574833,5057.933630253069,2441.5941082827003,881.4024250595465,363.90840385260475,1280.6749480713395,271.6733042957256,258.29240975218744,4.798,1.44
59.36547728469646,0.942,3.78,3.8070033180426925,517.0,517.0,517.0,517.0,0.0,0.0,0.0,2.213790716030071,4.721193021821299,6.491640405004286,0.5901491277276624,326.7951984711423,178.01531037344668,43.758393836822954,1012.7682651326884,798.3839413719201,2372.41364731192,617.1589467519153,6564.267966503947,4925.72587992378,9549.01761542872,3033.610404902632,5170.864637032786,5677.25661814289,5051.05979962955,825.1283632914127,464.76915315591384,1138.8714043966447,939.7719642100118,1908.7180901021268,4726.415371982211,2396.0457425738696,989.5880486441208,411.3213411051782,1461.2221699748482,307.9420076849092,297.54784093790533,4.798,1.44
64.72345602096797,0.942,3.78,1.016434263934386,517.0,517.0,517.0,517.0,0.0,0.0,0.0,0.3813476897035145,0.8892321027158044,1.222694141234231,0.11115401283947555,67.93607248742201,35.28440077785144,22.104440579677224,484.8763589733545,278.09458439843604,2299.5127680759147,269.0717860964538,7442.010282910208,6827.531912062175,16711.672142090287,4461.134356182434,6912.19080520433,8289.125726891723,8954.920332265943,1309.0079911904886,709.3315715792703,1731.9661542205135,1364.2970040486273,2220.187333935354,6802.702190911622,3970.8841022354954,1345.9438084516676,309.42084902365593,1950.1809399765825,424.06173551005253,278.8138411885107,4.798,1.44
63.59540480864617,0.942,3.78,1.591374125985634,517.0,517.0,517.0,517.0,0.0,0.0,0.0,0.3674680891560892,0.6727929591805807,0.9250903188732985,0.08409911989757259,57.17533814805288,28.52855968278518,24.225524425298552,836.717402507038,433.0038051551282,2329.1607643248462,284.00112064858337,7438.568550712657,6697.043009709591,16707.277636276984,4460.755817321217,6863.622261440513,8267.369093471987,8209.939271866193,1182.2561882761074,631.4834855184749,1544.959265118259,1294.6206905676775,2393.89878768053,6712.282870036484,4027.9479210245936,1509.8370958516687,357.7748436759836,2198.4530195564384,484.3740336825402,324.711835260432,4.798,1.44
63.23801311017303,0.942,3.78,2.0704580054781707,517.0,517.0,517.0,517.0,0.0,0.0,0.0,0.48366429354231544,0.6188701392491741,0.8509464414676143,0.07735876740614676,58.757271407703556,28.23182370021633,30.838739626715835,1054.9335331999232,618.2447830050028,2326.4824707556686,290.6000259667949,7426.976897533981,6447.581926926024,16681.74895226827,4458.5353969097405,6695.673294282446,8217.35964672818,7652.124809724886,1116.709902959924,613.8536375182406,1506.859866433704,1322.8153514347857,2484.8250398636305,6819.775346677512,4132.210472684955,1589.2827088599206,375.5943939973476,2302.0555397702965,512.7178250709103,344.6981280107011,4.798,1.44
78.23467279779436,0.942,3.78,0.9158556514003025,517.0,517.0,517.0,517.0,0.0,0.0,0.0,0.48365409804073767,1.126982178870984,1.549600495947603,0.140872772358873,88.95345290776946,40.335860847226535,19.83712823570119,309.2876926648148,296.12397718921363,2720.7215399387283,246.56192091019852,4817.644903877952,4473.89523239201,19473.855871005304,4181.068638666262,5506.423784513894,5446.743904510017,11619.680315761318,1454.0607691297514,818.3011899589558,2010.6984993747567,1634.6072416978318,1638.672435676994,4998.459439112105,4605.790051262291,1474.7374408381015,263.636398276281,1775.5467175866975,361.3116999016959,300.35524491295985,4.798,1.44
