,回流量,進料量,輕質流量,重質流量,塔頂溫度,塔底溫度,加熱爐,旁通流量,核心流量,蒸氣量,C7+ in Light End (Input),  O2,  METHANE,  ETHANE,  PROPANE,  BUTANE,  IPENTANE,  PENTANE,  T2PENTEN,  CP,  3MP,  T2HEXENE,  HEXANE,  MCP,  22MP,  BENZENE,  CH,  223MB,  4M1HEXEN,  2MHX,  1T3M,  HEPTANE,  H2O,  MCH,  ECP,  23DM1HX,  TOLUENE,  2MHEPT,  OCTANE,  ECH,  EBENZENE,  PXYLENE,  MXYLENE,  OXYLENE,  2MOCTN,  1NONENE,  NONANE,  CUMENE,  1T35TMCH,  PCH,  PRBENZEN,  135MBENZ,  1M2EBNZN,  123MBENZ,  24DMOCT,  TEMH,  3MN,  TBCYHXAN,  DECANE,  ODEBZ,  UNDECANE,  PNBZ,  DODECANE,  HXBNZN,  TRIDECAN,Hydrogen,Methane,Ethane,Propane,n-Butane,i-Butane,C4 Naphthenes,n-Pentane,C5 i-Paraffins,C5 Naphthenes,n-Hexane,C6 i-Paraffins,C6 Naphthenes,Benzene,n-Heptane,C7 i-Paraffins,C7 Naphthenes,Toluene,n-Octane,C8 i-Paraffins,C8 Naphthenes,Ethylbenzene,P-Xylene,M-Xylene,O-Xylene,n-Nonane,C9 i-Paraffins,C9 Naphthenes,C9 Aromtics,C10+ n-Paraffins,C10+ i-Paraffins,C10+ Naphthenes,C10+ Aromtics,C6P- in Heart Cut (Input)
2020-04-15 23:00:00,64.68166632401316,120.07201887431897,10.933031533893786,13.250919392234401,114.97640469199733,160.0239482678865,6.883795098146421,24.97724272075452,100.30884712620785,1.7999177230031866,0.7376000285148621,0.0,0.0,0.0,0.023649999871850014,0.04729999974370003,0.3925899863243103,0.8424000144004822,0.00945999938994646,0.15629999339580536,1.9683301448822021,0.04017000272870064,3.4811999797821045,2.484802722930908,0.5526513457298279,0.4345000088214874,1.3452972173690796,0.6072493195533752,0.012113324366509914,4.597586154937744,0.9764177799224854,7.6859002113342285,0.0,5.656045436859131,3.9159364700317383,0.09659799933433533,3.0806000232696533,9.563201904296875,8.588700294494629,7.500699996948242,1.3525434732437134,0.7672481536865234,1.8937627077102661,1.6824458837509155,6.590519905090332,0.17178015410900116,6.0883002281188965,0.04985044151544571,1.9695900678634644,1.313209891319275,0.2126329243183136,0.9131433963775635,1.3495228290557861,0.9920503497123718,0.6992744207382202,1.0375486612319946,2.4214768409729004,0.3659000098705292,1.3274595737457275,0.229192852973938,0.25106456875801086,0.013324794359505177,0.00447598472237587,0.0025823619216680527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009600000455975533,0.5421000123023987,0.19089999794960022,2.5030999183654785,0.1054999977350235,9.296299934387207,6.856400012969971,12.719599723815918,4.026199817657471,10.224699974060059,11.916199684143066,9.734800338745117,1.8620679378509521,1.0026519298553467,2.5066299438476562,1.7904499769210815,4.710100173950195,7.360599994659424,2.9214999675750732,2.4540998935699463,0.9776000380516052,3.051500082015991,0.23440000414848328,0.15700000524520874,0.7426000237464905
2020-04-14 23:00:00,70.34505342182361,119.95612234818309,11.27989673614502,13.012051682723197,115.53108175177323,163.00262049624794,7.498334783933133,24.982603876214277,100.24441207082648,1.8021582176810818,1.1086000204086304,0.0,0.0,0.0,0.023614998906850815,0.04722999781370163,0.3920089900493622,0.8406999707221985,0.00944599974900484,0.15600000321865082,1.9726420640945435,0.040258001536130905,3.4911999702453613,2.488565683364868,0.556147575378418,0.4309000074863434,1.347334384918213,0.611090898513794,0.012189956381917,4.626671314239502,0.9812497496604919,7.7399001121521,0.0,5.684035301208496,3.9353151321411133,0.09720399975776672,3.076200008392334,9.62319564819336,8.637999534606934,7.529300212860107,1.3476282358169556,0.7644598484039307,1.8868805170059204,1.676331639289856,6.5847697257995605,0.17163029313087463,6.043499946594238,0.04927925765514374,1.9642503261566162,1.3096497058868408,0.2101965844631195,0.9026806950569153,1.3340600728988647,0.9806835055351257,0.6906980872154236,1.0248236656188965,2.3917784690856934,0.36000001430511475,1.298948049545288,0.2279772162437439,0.24567213654518127,0.013254120014607906,0.0043798484839499,0.0025686651933938265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010099999606609344,0.5390999913215637,0.19670000672340393,2.3677000999450684,0.10679999738931656,9.375699996948242,6.908699989318848,13.048600196838379,4.103899955749512,10.641300201416016,11.998600006103516,9.31760025024414,1.8738980293273926,1.0090219974517822,2.522555112838745,1.8018250465393066,4.487599849700928,7.330900192260742,2.8717000484466553,2.401400089263916,0.9569000005722046,2.9507999420166016,0.22499999403953552,0.1639000028371811,0.7458999752998352
2020-04-13 23:00:00,67.38648665578742,119.95917551141036,11.783683676468698,12.324278630708394,116.00962106805099,163.03907133403578,7.619692831700838,24.980468047292607,100.18218030427632,1.7999022006988525,1.332900047302246,0.0,0.0,0.0,0.023109998553991318,0.046219997107982635,0.38362598419189453,0.8222000002861023,0.009243999607861042,0.15360000729560852,1.9630379676818848,0.04006199911236763,3.478600025177002,2.4771475791931152,0.5550268888473511,0.4302999973297119,1.341152548789978,0.6098595261573792,0.012165392749011517,4.6173481941223145,0.9780747890472412,7.727200031280518,0.0,5.665643692016602,3.922581672668457,0.09693100303411484,3.0810999870300293,9.596168518066406,8.619799613952637,7.505899906158447,1.3486016988754272,0.7650120854377747,1.888243556022644,1.6775425672531128,6.5815534591674805,0.17154645919799805,6.042300224304199,0.04949752613902092,1.9575306177139282,1.3051694631576538,0.21112759411334991,0.9066788554191589,1.3399689197540283,0.9850271344184875,0.696146547794342,1.0329077243804932,2.4106457233428955,0.3736000061035156,1.308759331703186,0.236112579703331,0.24752777814865112,0.013727092184126377,0.004412930458784103,0.0026603280566632748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010099999606609344,0.5573999881744385,0.20260000228881836,2.3320000171661377,0.10209999978542328,9.375,6.874000072479248,12.9375,3.750499963760376,10.29259967803955,12.010199546813965,9.841300010681152,1.8064539432525635,0.9727059602737427,2.431764841079712,1.7369749546051025,4.6157002449035645,7.491099834442139,2.957200050354004,2.4428000450134277,0.982200026512146,3.0352001190185547,0.23270000517368317,0.16689999401569366,0.7700999975204468
2020-04-12 23:00:00,67.25521047491776,120.04980247899105,11.654946829143324,12.510783446462531,115.99762003045333,163.07739579050164,7.614850719771171,25.00837647287469,100.26459583483245,1.7983012638593976,1.363700032234192,0.0,0.0,0.0,0.02394000068306923,0.04788000136613846,0.3974039852619171,0.8549999594688416,0.009576000273227692,0.15929999947547913,2.004688024520874,0.040911998599767685,3.5375001430511475,2.5200302600860596,0.5585326552391052,0.44119998812675476,1.3643696308135986,0.6137116551399231,0.01224223431199789,4.64651346206665,0.9862852692604065,7.760200023651123,0.0,5.713204383850098,3.955510139465332,0.09675800055265427,3.1173999309539795,9.579042434692383,8.578100204467773,7.495699882507324,1.3486255407333374,0.7650255560874939,1.8882768154144287,1.6775721311569214,6.506412029266357,0.1695879101753235,5.95490026473999,0.049178626388311386,1.9388114213943481,1.2926884889602661,0.20976734161376953,0.9008373022079468,1.3313359022140503,0.9786808490753174,0.6861408948898315,1.018061876296997,2.375997543334961,0.36660000681877136,1.2793253660202026,0.24256476759910583,0.24196088314056396,0.01410221029073,0.004313684068620205,0.0027330261655151844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009800000116229057,0.5753999948501587,0.2070000022649765,2.2929000854492188,0.1039000004529953,9.464200019836426,6.928800106048584,12.773900032043457,3.7284998893737793,10.279200553894043,11.941800117492676,9.73900032043457,1.791477918624878,0.9646419882774353,2.411604881286621,1.7225749492645264,4.669099807739258,7.601200103759766,2.9700000286102295,2.461199998855591,0.9966000318527222,3.073199987411499,0.24040000140666962,0.18490000069141388,0.792199969291687
2020-04-11 23:00:00,67.65687360261616,120.06532588757966,11.65761591258802,12.352344512939453,115.96688401071648,162.99299782200865,7.280406429911247,25.0168783288253,100.351856432463,1.793938956762615,1.3210999965667725,0.0,0.0,0.0,0.023634999990463257,0.047269999980926514,0.3923409879207611,0.84170001745224,0.009453999809920788,0.1559000015258789,1.975484013557434,0.04031600058078766,3.498300075531006,2.493236780166626,0.5543276071548462,0.4361000061035156,1.3498634099960327,0.6090911626815796,0.01215006597340107,4.611530780792236,0.980388879776001,7.719400405883789,0.0,5.679048538208008,3.9318625926971436,0.09678799659013748,3.0913000106811523,9.582011222839355,8.6003999710083,7.507800102233887,1.3505725860595703,0.7661300897598267,1.8910030126571655,1.6799941062927246,6.55592155456543,0.1708783656358719,6.0385003089904785,0.04911201074719429,1.9541107416152954,1.3028892278671265,0.20948320627212524,0.8996171355247498,1.329532504081726,0.9773551821708679,0.7000479698181152,1.038696527481079,2.4241554737091064,0.36399999260902405,1.3023861646652222,0.2371411919593811,0.2463223934173584,0.013786894269287586,0.004391441121697426,0.0026719174347817898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010599999688565731,0.5758000016212463,0.21320000290870667,2.341399908065796,0.10859999805688858,9.18220043182373,6.734600067138672,13.103400230407715,3.7576000690460205,10.583000183105469,11.899100303649902,9.376399993896484,1.8049979209899902,0.971921980381012,2.429805040359497,1.7355749607086182,4.662899971008301,7.595699787139893,2.9709999561309814,2.523400068283081,1.0061999559402466,3.0815999507904053,0.23759999871253967,0.17110000550746918,0.7996000051498413
2020-04-10 23:00:00,67.21952859978927,120.00000281082957,11.900096240796541,12.133170178062038,115.98946782162315,163.0489212839227,7.198873550777168,24.96761532833702,100.40878576981395,1.7991572618484497,1.3324999809265137,0.0,0.0,0.0,0.022965000942349434,0.04593000188469887,0.3812189996242523,0.8047000169754028,0.009186000563204288,0.15649999678134918,1.976072072982788,0.0403280034661293,3.4654998779296875,2.4926528930664062,0.5453140735626221,0.43619999289512634,1.349547266960144,0.5991871356964111,0.011952502653002739,4.536546230316162,0.9953844547271729,7.655799865722656,0.0,5.7659125328063965,3.992002487182617,0.09694000333547592,3.1233999729156494,9.597060203552246,8.561300277709961,7.561399936676025,1.3581475019454956,0.7704270482063293,1.9016090631484985,1.6894166469573975,6.530581951141357,0.17021790146827698,5.987299919128418,0.049466341733932495,1.9650301933288574,1.3101696968078613,0.21099458634853363,0.9061076045036316,1.3391247987747192,0.984406590461731,0.7018136382102966,1.0413163900375366,2.430269956588745,0.37310001254081726,1.3003735542297363,0.24200370907783508,0.24594174325466156,0.014069590717554092,0.00438465503975749,0.002726704580709338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01080000028014183,0.5785999894142151,0.21369999647140503,2.4193999767303467,0.11969999969005585,9.340700149536133,6.854800224304199,13.166000366210938,3.7950000762939453,10.59939956665039,11.935799598693848,9.364299774169922,1.806246042251587,0.9725940227508545,2.431485176086426,1.7367750406265259,4.548900127410889,7.440499782562256,2.9456000328063965,2.412100076675415,0.9743000268936157,3.005500078201294,0.23749999701976776,0.17739999294281006,0.8030999898910522
2020-04-09 23:00:00,68.62621949848376,120.09819211457905,11.791050961143092,12.5525484085083,115.96901542262027,163.03756312320107,7.421344311016665,24.96881023206209,100.08270865992496,1.7964420318603516,1.3964999914169312,0.0,0.0,0.0,0.02304000034928322,0.04608000069856644,0.3824639916419983,0.8034999966621399,0.009215999394655228,0.15929999947547913,2.0539820194244385,0.04191800206899643,3.5353000164031982,2.529567003250122,0.5527663230895996,0.4424000084400177,1.3695330619812012,0.6073756217956543,0.012115844525396824,4.598542213439941,0.9986335039138794,7.652600288391113,0.0,5.784733295440674,4.005033016204834,0.09685199707746506,3.09689998626709,9.588347434997559,8.55620002746582,7.571899890899658,1.3536832332611084,0.7678946852684021,1.8953584432601929,1.6838635206222534,6.5156707763671875,0.16982924938201904,5.960400104522705,0.04906382039189339,1.9640103578567505,1.3094896078109741,0.2092776596546173,0.8987343907356262,1.3282278776168823,0.9763962030410767,0.6889322996139526,1.0222036838531494,2.3856639862060547,0.3633999824523926,1.2732038497924805,0.2348034381866455,0.2408030927181244,0.013650982640683651,0.004293042700737715,0.002645577769726515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011099999770522118,0.5806999802589417,0.21459999680519104,2.3264999389648438,0.1054999977350235,9.275300025939941,6.841599941253662,13.09469985961914,3.7427000999450684,10.511899948120117,11.861000061035156,9.300800323486328,1.7993299961090088,0.9688699841499329,2.4221749305725098,1.7301249504089355,4.623600006103516,7.771399974822998,3.025899887084961,2.444499969482422,0.9548999667167664,3.0144999027252197,0.2370000034570694,0.17679999768733978,0.8064000010490417
2020-04-08 23:00:00,67.6850750571803,118.98975332159745,11.826293644152189,11.377599364832827,116.05950164794922,164.02938119988693,7.362499910379433,24.971501400596217,100.14468062551398,1.798566366496839,1.5815000534057617,0.0,0.0,0.0,0.02345000021159649,0.04690000042319298,0.38927000761032104,0.8143999576568604,0.00938000064343214,0.16060000658035278,2.0776000022888184,0.042399998754262924,3.485999822616577,2.5302157402038574,0.5410037040710449,0.4399999976158142,1.3698842525482178,0.5944508910179138,0.011858024634420872,4.500687122344971,1.0050297975540161,7.4770002365112305,0.0,5.821784973144531,4.0306854248046875,0.09721300005912781,3.079900026321411,9.6240873336792,8.168900489807129,8.048999786376953,1.358242392539978,0.7704808712005615,1.901741862297058,1.6895346641540527,6.494814395904541,0.1692856252193451,5.9832000732421875,0.05114163085818291,1.9829694032669067,1.322130560874939,0.2181403785943985,0.9367949962615967,1.3844772577285767,1.0177457332611084,0.6860567331314087,1.0179370641708374,2.375706195831299,0.3663000166416168,1.2825119495391846,0.26070570945739746,0.24256356060504913,0.015156885609030724,0.004324428737163544,0.0029374235309660435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119999960064888,0.6128000020980835,0.2354000061750412,2.146199941635132,0.12470000237226486,9.326199531555176,6.882800102233887,13.154800415039062,3.768199920654297,10.455100059509277,11.830400466918945,9.2701997756958,1.7984980344772339,0.9684220552444458,2.4210550785064697,1.7293250560760498,4.636899948120117,7.897900104522705,3.005000114440918,2.464400053024292,0.9425000548362732,2.9839999675750732,0.23229999840259552,0.18129999935626984,0.8594000339508057
2020-04-07 23:00:00,64.80660709581878,119.00046599538703,12.307947861520868,10.827487794976486,116.440235338713,164.05526331851357,7.1658015152242545,25.015555331581517,100.38843134829872,1.80225806487234,1.9062999486923218,0.0,0.0,0.0,0.02312999963760376,0.04625999927520752,0.38395798206329346,0.8030999898910522,0.009251999668776989,0.16189999878406525,2.1764819622039795,0.04441799968481064,3.6856000423431396,2.552532911300659,0.5613775849342346,0.45260000228881836,1.3819669485092163,0.6168375611305237,0.012304590083658695,4.670180320739746,0.9983280897140503,7.728799819946289,0.0,5.78296422958374,4.00380802154541,0.09665900468826294,3.10509991645813,9.569241523742676,8.522200584411621,7.523799896240234,1.3455860614776611,0.763301432132721,1.8840211629867554,1.6737912893295288,6.455440998077393,0.1682593673467636,5.827700138092041,0.04893342778086662,1.8351962566375732,1.2236037254333496,0.20872147381305695,0.8963459134101868,1.3246979713439941,0.97380131483078,0.7717360854148865,1.1450637578964233,2.6724002361297607,0.35839998722076416,1.2345455884933472,0.23854385316371918,0.23349159955978394,0.013868441805243492,0.0041626933962106705,0.002687721513211727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011500000022351742,0.6057000160217285,0.23250000178813934,2.0220999717712402,0.10849999636411667,9.407999992370605,6.922900199890137,13.125200271606445,3.769399881362915,10.44159984588623,11.828700065612793,9.212499618530273,1.7865899801254272,0.9620100259780884,2.405025005340576,1.7178750038146973,4.679500102996826,7.8471999168396,3.0571999549865723,2.461400032043457,0.9413000345230103,3.0023000240325928,0.2410999983549118,0.197299987077713,0.8497000336647034
2020-04-06 23:00:00,63.73897351716694,118.96341765554328,12.327196472569517,10.728887206629702,117.0473921926398,164.01866149902344,6.947197432098703,25.003876535516035,100.31395882054379,1.801606862168563,1.930999994277954,0.0,0.0,0.0,0.02319999970495701,0.04639999940991402,0.3851199746131897,0.8145000338554382,0.009279999881982803,0.15389999747276306,2.0968079566955566,0.042791999876499176,3.575699806213379,2.4740984439849854,0.5590786337852478,0.4381999969482422,1.3395017385482788,0.6143115758895874,0.0122542018070817,4.651055335998535,0.9807128310203552,7.702500343322754,0.0,5.680925369262695,3.933161735534668,0.09758400171995163,3.0302000045776367,9.660816192626953,8.156499862670898,7.898399829864502,1.333499550819397,0.7564452290534973,1.867098331451416,1.6587568521499634,6.504950046539307,0.16954980790615082,5.85230016708374,0.04963075369596481,1.8374160528182983,1.2250839471817017,0.2116958647966385,0.9091192483901978,1.3435755968093872,0.9876784682273865,0.7899985909461975,1.1721607446670532,2.735640287399292,0.38759997487068176,1.2725329399108887,0.3147544264793396,0.24067620933055878,0.0182991661131382,0.004290780983865261,0.0035464016254991293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.6341000199317932,0.24009999632835388,2.340100049972534,0.1436000019311905,9.475299835205078,7.059899806976318,13.148799896240234,3.759999990463257,10.456600189208984,11.862000465393066,9.191800117492676,1.7752279043197632,0.9558919668197632,2.3897299766540527,1.7069499492645264,4.551499843597412,7.767300128936768,2.9983999729156494,2.381700038909912,0.9269000291824341,2.9005000591278076,0.23489999771118164,0.19110000133514404,0.8867000341415405
