,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
2,100.5,119.2,146.5,31.977999999999998,0.272,0.132,0.059,5.293,2.57,2.819,0.494,10.395,8.07,6.411,2.917,9.138,9.649,4.81,5.373,6.405,9.759,4.59,3.661,0.875,5.257,0.525,0.319
3,99.6,117.9,145.5,31.567999999999998,0.297,0.151,0.062,5.089,2.531,2.804,0.499,10.074,7.958,6.395,2.894,8.97,9.548,4.753,5.443,6.324,9.899,4.301,2.995,0.881,5.591,1.119,0.303
4,100,118.8,145.6,31.344,0.262,0.126,0.061,5.107,2.571,2.771,0.492,10.069,7.913,6.378,2.89,9.006,9.591,4.778,5.468,6.36,9.983,4.274,2.979,0.865,5.641,0.964,0.289
5,100.4,118.6,142.9,31.453000000000003,0.224,0.105,0.06,4.894,2.497,2.65,0.469,10.015,7.685,6.376,2.866,9.133,9.708,4.889,5.51,6.444,10.182,4.42,2.964,0.83,5.637,0.968,0.281
6,100.4,118.1,142.2,32.19,0.243,0.117,0.061,4.946,2.503,2.695,0.477,10.053,7.765,6.394,2.877,9.101,9.676,4.855,5.5,6.416,10.115,4.347,3.725,0.835,4.8229999999999995,0.9690000000000001,0.29
7,100.4,117.6,143.2,32.385,0.357,0.203,0.067,4.986,2.478,2.877,0.511,10.173,7.964,6.579,2.93,9.035,9.619,4.848,5.465,6.281,9.918,4.291,3.608,0.8190000000000001,4.681,0.9279999999999999,0.281
8,100,118.1,143.6,32.332,0.374,0.005,0.068,5.009,0.212,2.902,0.516,10.186,2.491,6.602,2.934,9.006,7.986,4.732,5.456,6.239,9.597,4.319,3.578,0.81,14.673,0.876,0.349
9,99.4,117.7,142.8,32.432,0.357,0.206,0.065,4.971,2.444,2.913,0.514,10.218,8.013,6.628,2.938,9.026,9.617,4.859,5.459,6.236,9.887,4.286,3.571,0.803,4.636,0.917,0.282
10,100.3,118.1,143.1,31.706,0.351,0.202,0.065,4.965,2.431,2.913,0.513,10.234,8.025,6.637,2.941,9.029,9.622,4.858,5.461,6.237,9.888,4.281,2.842,0.802,5.35,0.9139999999999999,0.281
11,100.5,118.3,144.8,32.403,0.397,0.236,0.069,4.982,2.461,2.939,0.522,10.229,8.025,6.655,2.95,9.021,9.611,4.858,5.46,6.232,9.894,4.221,3.55,0.799,4.602,0.9,0.279
12,99.7,117.8,142.5,31.786,0.342,0.196,0.065,4.915,2.415,2.861,0.513,10.18,7.967,6.556,2.954,9.043,9.637,4.827,5.505,6.299,9.938,4.282,2.9,0.806,5.313,1.048,0.275
13,100.1,117.8,142.7,32.491,0.168,0.077,0.045,4.461,2.068,2.61,0.451,10.161,7.808,6.408,2.952,9.271,9.844,4.881,5.675,6.512,10.246,4.421,3.782,0.832,4.912,0.92,0.346
14,99.6,118.3,143.9,32.437999999999995,0.297,0.163,0.06,4.823,2.349,2.797,0.499,10.153,7.917,6.497,2.948,9.088,9.677,4.833,5.552,6.359,10.016,4.32,3.678,0.814,4.789,0.912,0.342
15,100.5,118.3,143.2,32.044,0.219,0.092,0.054,5.129,2.497,2.795,0.497,10.247,8.049,6.376,2.947,9.043,9.673,4.644,5.528,6.338,10.087,4.351,3.67,0.806,4.698,0.864,0.318
16,100.9,119,145.6,32.881,0.215,0.091,0.054,5.09,2.474,2.787,0.493,10.28,8.034,6.393,2.951,9.064,9.687,4.647,5.537,6.349,9.227,5.132,3.686,0.798,4.738,0.883,0.318
17,100.9,118.9,144.7,32.949,0.215,0.093,0.054,5.035,2.446,2.768,0.489,10.227,7.987,6.371,2.939,9.077,9.684,4.753,5.557,6.395,9.174,5.119,3.712,0.8,4.78,0.931,0.256
18,101.4,119.5,144.5,33.004,0.248,0.12,0.057,4.903,2.39,2.752,0.482,10.23,7.874,6.373,2.934,9.123,9.683,4.778,5.542,6.442,9.195,5.071,3.74,0.836,4.85,0.929,0.346
19,101.2,118.8,143.1,33.168,0.202,0.098,0.051,4.547,2.165,2.631,0.454,10.184,7.715,6.36,2.928,9.253,9.768,4.825,5.634,6.561,9.425,5.264,3.787,0.831,4.879,0.952,0.282
20,100.9,118.7,142.9,33.05200000000001,0.284,0.15,0.06,4.817,2.362,2.747,0.481,10.209,7.807,6.402,2.929,9.131,9.672,4.786,5.562,6.461,9.246,5.163,3.714,0.82,4.817,0.934,0.274
21,100.5,119.2,144.4,32.009,0.359,0.213,0.065,4.757,2.341,2.791,0.493,10.207,7.799,6.469,2.949,9.118,9.65,4.805,5.561,6.419,10.018,4.35,3.703,0.819,5.188,0.555,0.268
22,100.1,118.4,143.6,32.095,0.497,0.316,0.076,4.81,2.417,2.878,0.52,10.18,7.812,6.539,2.96,9.059,9.599,4.813,5.526,6.351,9.907,4.279,3.651,0.812,5.1,0.546,0.307
23,101.8,120.1,146.7,34.12,0.398,0.255,0.077,4.417,2.162,3.023,0.493,9.79,7.398,7.105,3.01,8.752,9.06,5.341,5.486,6.139,9.582,4.736,3.066,1.113,5.737,1.077,0.706
24,101.6,118.9,143.3,32.396,0.269,0.151,0.054,4.448,1.979,2.77,0.446,10.337,7.769,6.503,2.972,9.174,9.618,4.839,5.614,6.478,9.979,4.358,3.876,0.89,5.304,0.634,0.33
25,101.9,120.3,146.6,32.323,0.47,0.152,0.054,4.456,1.982,2.768,0.447,10.36,7.783,6.514,2.977,9.193,9.643,4.836,5.61,6.488,10.011,4.307,3.855,0.885,5.271,0.615,0.34
26,100.7,118.4,143.3,32.001,0.38,0.234,0.062,4.704,2.204,2.835,0.484,10.349,7.878,6.511,2.962,9.142,9.662,4.693,5.543,6.379,10.002,4.288,3.709,0.823,5.202,0.543,0.371
27,101.1,118.4,143.5,33.684,0.384,0.237,0.124,4.787,2.083,2.841,0.481,10.511,7.893,6.495,2.968,9.234,9.698,5.617,4.083,6.424,8.974,6.017,3.462,0.832,3.892,1.221,0.375
28,101.1,118.8,143.8,34.12,0.398,0.255,0.077,4.417,2.162,3.023,0.493,9.79,7.398,7.105,3.01,8.752,9.06,5.341,5.486,6.139,9.582,4.736,3.066,1.113,5.737,1.077,0.706
29,101.1,118.7,143,31.287999999999997,0.402,0.254,0.061,4.528,2.037,2.809,0.479,10.391,7.879,6.491,2.974,9.217,9.736,4.793,5.587,6.455,9.988,4.293,2.983,0.816,5.902,0.551,0.267
30,101.9,119.1,144.8,31.62,0.277,0.164,0.047,4.24,1.731,2.742,0.442,10.353,7.827,6.5,2.974,9.23,9.764,4.86,5.636,6.505,10.074,4.366,3.096,0.876,6.183,0.631,0.326
31,102.2,119.2,144.5,32.338,0.312,0.19,0.05,4.3,1.785,2.758,0.451,10.386,7.858,6.49,2.976,9.241,9.774,4.831,5.638,6.498,10.079,4.362,3.824,0.858,5.301,0.567,0.391
32,102.3,119.1,144.2,32.191,0.283,0.169,0.047,4.268,1.723,2.731,0.443,10.453,7.888,6.447,2.978,9.295,9.834,4.816,5.65,6.545,10.107,4.343,3.827,0.844,5.321,0.545,0.364
33,101.2,118.3,143,31.604,0.44,0.275,0.061,4.302,1.845,2.879,0.479,10.429,8.203,6.623,3,9.188,9.72,4.768,4.768,6.403,10.044,4.398,3.725,0.805,5.152,0.54,0.363
34,101.3,118.7,144,33.012,0.388,0.249,0.059,4.189,1.805,2.988,0.473,10.289,8.116,6.851,2.997,9.012,9.517,4.853,5.556,6.266,9.973,4.478,3.731,0.916,5.161,0.56,0.466
35,101.6,118.7,144.4,32.893,0.323,0.203,0.051,4.138,1.701,2.919,0.456,10.381,8.198,6.734,2.988,9.091,9.623,4.908,5.561,6.355,9.947,4.509,3.75,0.85,5.214,0.598,0.419
36,102.9,119.7,145.5,33.22,0.206,0.12,0.036,3.778,1.418,2.941,0.456,10.11,8.225,7.173,3.148,8.937,9.589,5.229,5.699,6.238,10.149,4.53,3.028,0.8130000000000001,5.995,0.613,0.367
37,102.6,118.8,144,33.46,0.177,0.1,0.032,3.686,1.334,2.932,0.454,10.072,8.243,7.243,3.18,8.917,9.592,5.276,5.744,6.21,10.213,4.611,3.039,0.806,5.972,0.6140000000000001,0.335
38,103,119.1,144.5,32.725,0.246,0.149,0.036,3.862,1.332,2.819,0.436,10.652,8.478,6.832,3.083,9.253,9.828,4.95,5.671,6.429,10.132,4.379,3.689,0.755,5.102,0.518,0.312
39,102.7,119.1,144.5,32.634,0.263,0.161,0.038,3.853,1.345,2.792,0.435,10.599,8.403,6.751,3.055,9.272,9.812,4.915,5.676,6.499,10.159,4.459,3.719,0.762,5.136,0.545,0.249
40,103,119.2,144.4,32.643,0.222,0.132,0.034,3.706,1.251,2.736,0.419,10.642,8.443,6.746,3.064,9.3,9.842,4.92,5.684,6.533,10.2,4.399,3.766,0.796,5.224,0.569,0.306
41,103.3,118.9,143.1,36.592,0.002,0,0,3.032,0.536,4.599,0.437,10.119,8.158,8.066,3.144,8.824,9.438,5.356,5.727,6.099,9.952,4.479,3.78,0.849,5.16,0.636,0.368
42,101.6,118,141.4,32.554,0.252,0.151,0.036,3.537,1.251,2.686,0.414,10.695,8.471,6.741,3.076,9.326,9.873,4.903,5.7,6.577,10.215,4.377,3.782,0.78,5.229,0.551,0.288
43,102.7,118.7,143,32.91,0.32099999999999995,0.207,0.043,3.436,1.221,2.669,0.419,10.713,8.455,6.745,3.085,9.362,9.879,4.9,5.715,6.599,10.187,4.758,3.778,0.786,5.318,0.549,0.249
44,102.5,119.2,145.5,32.819,0.388,0.257,0.047,3.464,1.233,2.694,0.429,10.744,8.496,6.752,3.086,9.326,9.842,4.861,5.683,6.569,10.156,4.686,3.756,0.782,5.328,0.541,0.284
45,102.8,119.4,143.5,32.804,0.401,0.265,0.048,3.471,1.24,2.698,0.43,10.727,8.487,6.748,3.083,9.315,9.831,4.857,5.678,6.57,10.146,4.673,3.77,0.783,5.376,0.508,0.311
46,103,118.5,142.1,32.633,0.237,0.146,0.032,3.561,1.188,2.643,0.4,10.96,8.703,6.716,3.094,9.39,9.936,4.856,5.672,6.581,10.138,4.723,3.707,0.759,5.25,0.524,0.266
47,103.2,118.7,142.3,32.21,0.206,0.124,0.029,3.564,1.187,2.606,0.392,10.929,8.667,6.658,3.079,9.404,9.934,4.713,5.693,6.63,10.276,4.505,3.748,0.748,5.33,0.498,0.289
48,103,118.2,141.7,32.123,0.209,0.125,0.029,3.563,1.189,2.606,0.391,10.904,8.658,6.649,3.073,9.403,9.926,5.003,5.7,6.637,10.029,4.746,3.049,0.749,5.904,0.641,0.236
49,103.7,118.7,143.1,32.091,0.133,0.07,0.021,3.553,1.084,2.555,0.381,10.982,8.738,6.598,3.056,9.428,9.961,4.683,5.683,6.666,10.302,4.534,3.779,0.754,5.41,0.514,0.287
50,103.3,119,144.6,32.189,0.176,0.101,0.025,3.563,1.144,2.584,0.386,10.94,8.694,6.626,3.062,9.403,9.937,4.702,5.695,6.635,10.337,4.586,3.751,0.754,5.334,0.491,0.281
51,103.4,119.4,145.2,32.162,0.16599999999999998,0.094,0.024,3.577,1.134,2.59,0.388,10.983,8.74,6.641,3.073,9.405,9.949,4.702,5.687,6.617,10.288,4.539,3.738,0.747,5.347,0.5,0.28
52,104,120.1,145.7,32.355,0.107,0.05,0.018,3.526,1.035,2.53,0.374,11.014,8.766,6.589,3.053,9.474,10,4.793,5.702,6.72,10.277,4.785,3.782,0.77,5.343,0.502,0.227
53,104.5,120.5,146.8,32.503,0.125,0.065,0.02,3.443,1.048,2.541,0.374,11.051,8.767,6.703,3.09,9.459,10.041,4.865,5.698,6.645,10.284,4.716,3.715,0.752,5.289,0.517,0.264
54,104.1,118.9,142.3,32.584,0.104,0.056,0.019,3.296,0.997,2.478,0.363,10.989,8.669,6.682,3.076,9.468,10.043,4.879,5.728,6.672,10.394,4.887,3.726,0.741,5.398,0.528,0.218
55,103.3,120,144.8,34.391,0.27399999999999997,0.173,0.038,3.27,1.23,2.738,0.417,10.235,8.298,7.266,3.164,8.946,9.612,5.283,5.704,6.278,10.233,4.988,3.782,0.86,5.454000000000001,0.644,0.367
56,104.3,119.1,142.9,33.057,0.121,0.061,0.019,3.14,0.953,2.503,0.37,10.941,8.652,6.933,3.147,9.392,10.09,5.054,5.726,6.561,10.35,4.867,3.662,0.729,5.35,0.54,0.236
57,104.7,119.4,143.1,32.353,0.119,0.059,0.019,3.098,0.939,2.473,0.364,10.872,8.578,6.89,3.129,9.396,10.076,5.057,5.737,6.603,10.405,4.905,3,0.735,6.129,0.55,0.229
58,104.2,119.4,143.1,32.766999999999996,0.24100000000000002,0.147,0.031,3.115,1.041,2.553,0.382,10.717,8.495,7.015,3.136,9.275,9.957,5.085,5.728,6.508,10.363,4.987,2.956,0.724,6.001,0.672,0.222
59,103.9,119.6,144.5,32.166,0.139,0.074,0.021,3.288,1.011,2.515,0.372,10.928,8.656,6.782,3.102,9.41,10.031,4.942,5.723,6.626,10.41,4.839,3.002,0.738,5.908,0.635,0.233
60,104.2,119.5,145,32.25,0.138,0.072,0.021,3.218,0.984,2.501,0.369,10.907,8.625,6.82,3.11,9.391,10.036,4.971,5.718,6.602,10.382,4.838,3.005,0.735,6.025,0.671,0.226
61,104.2,119.9,144.9,33.129,0.16,0.088,0.023,3.115,0.955,2.517,0.375,10.92,8.64,6.994,3.164,9.371,10.099,5.077,5.733,6.54,10.392,4.832,3.638,0.713,5.31,0.533,0.243
62,104,118.5,140.9,33.225,0.16899999999999998,0.093,0.024,3.099,0.954,2.527,0.377,10.916,8.64,7.035,3.175,9.36,10.109,5.105,5.733,6.527,10.361,4.878,3.613,0.711,5.279,0.52,0.238
63,104.1,119,142.8,33.643,0.185,0.105,0.025,3.04,0.954,2.564,0.388,10.789,8.565,7.225,3.269,9.261,10.219,5.233,5.76,6.395,10.382,4.884,3.531,0.688,5.151,0.529,0.235
64,103.2,119.5,147,34.407,0.288,0.181,0.038,3.13,1.149,2.764,0.428,10.28,8.336,7.578,3.332,8.869,9.933,5.336,5.734,6.078,10.306,4.712,3.544,0.765,5.186,0.55,0.391
65,104.2,119.4,143.7,33.531,0.19,0.108,0.026,3.129,0.985,2.594,0.392,10.866,8.654,7.198,3.243,9.246,10.138,5.179,5.724,6.381,10.317,4.853,3.546,0.706,5.185,0.506,0.27
66,103.8,119.4,143.7,33.706,0.192,0.111,0.026,3.094,0.981,2.585,0.392,10.775,8.575,7.216,3.247,9.234,10.138,5.223,5.739,6.378,10.333,4.931,3.541,0.696,5.201,0.524,0.282
67,104,119.2,143.3,33.837,0.194,0.113,0.026,3.219,1.011,2.669,0.409,10.876,8.71,7.349,3.296,9.16,10.123,5.245,5.706,6.235,10.219,4.887,3.453,0.676,5.066,0.529,0.268
68,104.8,119.8,144.9,33.212,0.182,0.105,0.025,3.137,0.975,2.609,0.4,10.777,8.591,7.284,3.273,9.197,10.138,5.254,5.73,6.302,10.314,4.886,2.825,0.691,5.742,0.667,0.259
69,104.1,119.1,143,34.064,0.179,0.104,0.024,3.149,0.972,2.614,0.398,10.782,8.599,7.298,3.28,9.226,10.16,5.473,5.76,6.322,10.173,4.948,3.474,0.687,5.069,0.527,0.268
70,104.8,120.3,144.8,33.751000000000005,0.203,0.122,0.026,3.077,0.957,2.547,0.389,10.629,8.42,7.237,3.25,9.216,10.106,5.392,5.763,6.353,10.343,4.713,3.565,0.722,5.178,0.542,0.327
71,105.3,120,143.7,33.53,0.127,0.073,0.017,2.904,0.772,2.366,0.347,10.709,8.263,7.076,3.248,9.457,10.284,5.404,5.814,6.537,10.508,4.838,3.599,0.726,5.258,0.523,0.298
72,112.8,128.5,150.3,36.88,0.139,0.067,0.03,1.655,0.864,1.434,0.272,6.58,4.713,5.622,3.304,9.068,9.336,6.021,7.713,7.156,12.958,6.091,4.367,1.753,7.137,0.938,1.088
73,113.2,129.8,150.4,37.194,0.136,0.065,0.03,1.677,0.852,1.452,0.271,6.664,4.785,5.626,3.285,9.086,9.348,6.082,7.677,7.197,12.997,6.36,4.376,1.739,7.112,1.02,1.015
74,109.5,126.7,151.9,36.013000000000005,0.366,0.227,0.043,2.104,0.989,1.771,0.305,7.723,5.726,6.251,3.193,9.063,9.453,6.081,6.863,6.898,12.019,5.742,4.164,1.423,6.63,0.831,0.769
75,105.1,119,143.7,33.492,0.151,0.088,0.02,3.075,0.883,2.485,0.377,10.522,8.282,7.125,3.25,9.279,10.115,5.406,5.845,6.415,10.449,5.07,2.897,0.741,5.896,0.73,0.287
76,104.8,121.2,146.5,31.363,0.294,0.185,0.031,2.897,0.944,2.319,0.352,9.809,7.629,6.959,3.161,9.198,9.863,5.719,3.5,6.521,12.353,5.745,2.462,0.88,6.793,0.773,0.342
77,104.8,120,143.6,32.542,0.128,0.074,0.017,3.109,0.836,2.462,0.362,10.561,8.28,7.076,3.232,9.354,10.136,5.146,5.869,6.477,10.482,5.099,2.335,0.726,6.307,0.673,0.271
78,104.2,119.2,141.9,32.447,0.128,0.074,0,3.115,0.836,0.365,2.467,10.575,8.291,3.228,7.08,9.367,10.141,5.844,5.14,6.503,10.453,2.356,5.046,0.724,6.352,0.25,0.671
79,104.1,119,143,32.368,0.11,0.063,0.015,3.153,0.815,2.475,0.361,10.647,8.35,7.069,3.226,9.385,10.159,5.112,5.827,6.507,10.455,5.057,2.33,0.709,6.3020000000000005,0.65,0.246
80,104.6,119.8,143.9,32.269000000000005,0.111,0.064,0.015,3.176,0.818,2.489,0.362,10.682,8.386,7.088,3.231,9.397,10.18,5.116,5.841,6.499,10.405,4.937,2.317,0.7020000000000001,6.27,0.64,0.233
81,105.8,121.1,144.8,32.795,0.196,0.12,0.023,2.962,0.862,2.323,0.348,9.988,7.773,6.902,3.181,9.285,9.952,5.262,5.997,6.584,10.747,5.189,2.448,0.86,6.678,0.7779999999999999,0.344
82,105.5,119.6,143.4,32.251999999999995,0.102,0.059,0.013,3.321,0.803,2.522,0.364,10.831,8.548,7.135,3.197,9.376,10.136,5.123,5.758,6.407,10.327,5.013,2.273,0.727,6.156,0.628,0.226
83,104.7,119.4,143.4,31.582,0.092,0.053,0.012,3.197,0.775,2.456,0.354,10.705,8.399,7.041,3.17,9.435,10.159,5.119,5.797,6.543,10.452,4.418,2.331,0.712,6.301,0.646,0.238
84,104.9,119.6,142.9,32.068000000000005,0.094,0.053,0.012,3.233,0.779,2.468,0.355,10.721,8.42,7.037,3.163,9.427,10.143,5.111,5.788,6.531,10.429,4.902,2.333,0.716,6.318,0.649,0.25
85,104.8,119.5,142.4,35.716,0.001,0,0.001,2.648,0.512,3.712,0.336,8.778,6.637,7.296,2.984,9.034,9.439,5.458,6.156,6.627,11.048,5.434,3.103,1.098,6.878,0.75,0.486
86,104.9,119.3,143,31.766999999999996,0.098,0.057,0.013,3.283,0.783,2.493,0.359,10.802,8.504,7.098,3.172,9.423,10.054,4.711,5.765,6.463,10.37,4.997,2.297,0.73,6.195,0.634,0.228
87,105,120.3,145.1,31.653,0.1,0.059,0.012,3.273,0.779,2.484,0.356,10.774,8.476,7.071,3.159,9.425,10.522,4.7,5.775,6.486,10.406,4.902,2.289,0.715,6.23,0.645,0.26
88,104.7,119.8,144.4,32.029,0.116,0.072,0.014,3.301,0.787,2.503,0.358,10.793,8.512,7.09,3.141,9.409,10.596,4.99,5.74,6.461,10.344,4.987,2.302,0.707,6.278,0.658,0.246
89,104.4,119.5,143.1,32.1,0.218,0.143,0.024,3.282,0.867,2.494,0.362,10.563,8.321,7.081,3.119,9.365,10.504,5.052,5.751,6.464,10.397,4.931,2.339,0.742,6.334,0.682,0.265
90,104.8,120,144.4,32.242000000000004,0.256,0.171,0.027,3.301,0.901,2.509,0.366,10.534,8.312,7.107,3.118,9.335,9.996,5.055,5.757,6.442,10.378,5.051,2.305,0.748,6.288,0.675,0.272
92,103.8,119.3,143.3,31.316,0.284,0.193,0.03,3.268,0.917,2.49,0.365,10.44,8.233,7.061,3.099,9.305,10.343,4.75,5.748,6.462,10.413,4.455,2.35,0.77,6.403,0.694,0.274
93,104,119.1,142.1,32.794000000000004,0.24,0.159,0.028,3.159,0.886,2.437,0.356,10.468,8.203,7.076,3.113,9.379,10.025,5.576,5.783,6.476,10.453,5.086,2.36,0.771,6.384,0.701,0.278
94,103.6,118.9,142.2,33.845,0.339,0.233,0.033,3.301,0.961,2.508,0.374,10.435,8.233,7.071,3.104,9.303,9.944,5.531,5.763,6.461,10.362,5.117,3.515,0.771,5.202,0.56,0.269
95,86.6,117.1,147.8,34.11,3.294,2.584,0.281,4.383,3.666,3.334,0.76,8.058,7.067,7.212,2.99,7.194,8.084,5.367,4.987,5.04,8.819,4.572,3.051,1.113,5.757,0.983,0.573
96,104.1,126.3,150.8,36.64,1.334,0.906,0.118,2.618,1.824,1.924,0.379,6.957,5.263,6.529,3.012,8.46,8.822,6.301,6.201,6.389,11.24,6.283,4.162,1.491,6.982,1.013,0.718
97,101.5,123.6,146.9,36.315,1.602,1.121,0.144,2.885,2.105,2.205,0.432,7.131,5.531,6.829,3.049,8.318,8.747,6.361,6.053,6.185,10.905,5.935,3.51,1.391,6.873,1.145,0.652
98,102.6,124.4,147.4,36.324000000000005,1.342,0.913,0.123,2.646,1.863,1.994,0.386,6.951,5.279,6.603,3.007,8.45,8.802,6.3,6.203,6.412,11.205,5.867,4.155,1.473,6.911,0.981,0.705
99,100.8,123.3,145.8,33.866,1.599,1.121,0.145,2.848,2.092,2.205,0.426,7.022,5.452,6.77,3.004,8.265,8.572,5.579,4.483,6.206,12.578,5.861,3.547,1.395,7.0169999999999995,1.178,0.668
100,101.8,120.7,144.3,33.307,0.65,0.466,0.07,3.905,1.968,2.488,0.413,9.361,7.028,6.891,2.974,9.05,10.171,5.234,5.617,6.111,10.169,5.158,3.139,1.114,5.992,0.832,0.491
101,101.6,119.4,144,33.82299999999999,0.478,0.344,0.057,4.01,1.911,2.494,0.405,9.686,7.228,6.875,2.961,9.204,9.839,5.657,5.563,6.135,10.085,4.896,3.625,1.084,5.387,0.81,0.48
102,102.8,120.4,146.4,33.552,0.358,0.26,0.047,4.031,1.848,2.462,0.391,9.815,7.28,6.793,2.932,9.304,9.92,5.589,5.556,6.196,10.118,4.895,3.606,1.08,5.436,0.805,0.476
103,102.8,120.6,146.3,31.750999999999998,0.418,0.307,0.051,3.998,1.869,2.463,0.397,9.721,7.229,6.786,2.925,9.251,9.865,5.267,4.094,6.206,11.647,4.899,3.584,1.087,5.44,0.8069999999999999,0.47800000000000004
104,101.5,119.6,143.6,33.284000000000006,0.5619999999999999,0.42,0.063,4.088,1.985,2.537,0.42,9.75,7.299,6.861,2.955,9.179,9.425,5.27,5.518,6.108,9.94,4.811,3.57,1.073,5.372000000000001,0.7879999999999999,0.491
105,104.1,120.6,144,31.551,0.231,0.167,0.035,3.572,1.433,2.347,0.363,10.091,7.347,6.634,2.965,9.582,9.711,5.103,4.184,6.399,11.849,4.878,3.726,1.055,5.341,0.833,0.483
106,105.3,121.3,144.6,33.007999999999996,0.061,0.036,0.021,3.397,1.186,2.3,0.345,10.397,7.477,6.641,3.024,9.797,9.936,5.12,5.744,6.461,10.281,4.836,3.728,1.03,5.393000000000001,0.773,0.47600000000000003
107,103.3,120,144,33.728,0.567,0.37,0.051,4.587,1.997,2.478,0.51,9.645,7.884,6.811,3.145,8.174,9.68,5.37,5.247,5.622,10.524,4.932,4.122,2.013,3.887,0.688,0.374
108,104.7,119.9,143.9,30.933,0.151,0.111,0.021,3.322,1.035,2.363,0.359,10.843,8.319,6.782,2.95,9.523,9.787,5.003,4.065,6.482,11.818,4.769,3.575,0.831,5.24,0.705,0.341
109,104.4,120.7,146.2,32.38,0.195,0.148,0.023,3.244,0.98,2.326,0.358,10.826,8.41,6.738,2.934,9.501,9.734,4.957,5.545,6.564,10.32,4.871,3.617,0.787,5.407,0.706,0.305
110,102.9,120,145,32.217,0.349,0.269,0.036,3.371,1.114,2.38,0.382,10.718,8.455,6.741,2.926,9.35,10.043,4.662,5.473,6.494,10.301,4.874,3.681,0.81,5.5,0.7410000000000001,0.321
111,97.4,117.5,143.5,32.722,1.388,1.087,0.122,4.134,2.195,2.85,0.538,9.905,8.186,6.95,2.949,8.502,9.75,4.865,5.215,5.848,9.538,4.588,3.519,0.857,5.263,0.771,0.355
112,95.8,117.2,143.7,30.568999999999996,1.694,1.328,0.147,4.368,2.514,2.989,0.584,9.721,8.144,7.025,2.956,8.301,9.59,4.664,3.032,5.66,10.901,4.667,3.361,0.832,4.977,0.746,0.398
113,102.9,119.7,144.4,31.945,0.737,0.529,0.065,3.387,1.298,2.558,0.419,9.977,7.935,7.027,3.069,9.022,10.181,5.063,4.192,6.299,11.836,4.936,3.524,0.839,5.259,0.758,0.334
114,102.2,120,145.2,33.544,0.852,0.615,0.073,3.667,1.435,2.731,0.455,10.198,8.232,7.212,3.136,8.896,10.143,5.148,5.559,6.088,9.974,4.815,3.411,0.794,4.973,0.701,0.303
115,102.5,120.3,145.6,36.283,0.785,0.566,0.069,3.52,1.368,2.639,0.437,10.108,8.094,7.125,3.103,8.973,6.584,7.905,5.615,6.198,9.347,4.856,3.456,0.824,5.031,0.73,0.348
116,102.2,120,145.7,31.899,0.773,0.557,0.068,3.476,1.355,2.608,0.431,10.05,8.032,7.087,3.088,8.965,10.166,4.949,4.161,6.196,11.899,4.94,3.501,0.825,5.081,0.735,0.331
117,102.4,119.8,145.4,33.526,0.651,0.464,0.064,3.438,1.327,2.592,0.426,10.101,8.059,7.11,3.106,9.022,9.733,5.344,5.654,6.233,10.664,4.676,3.508,0.818,5.131,0.733,0.313
118,102.2,120,144.4,32.994,0.786,0.567,0.069,3.5,1.374,2.618,0.436,10.059,8.048,7.09,3.088,8.968,10.168,4.828,5.629,6.205,10.594,4.673,3.501,0.823,5.081,0.732,0.33
119,101.9,118.4,143,31.622999999999998,0.293,0.218,0.029,4.376,1.536,2.635,0.446,11.216,8.994,6.876,3.042,9.318,10.112,4.932,5.411,6.19,10.063,4.364,3.202,0.615,4.737,0.445,0.241
120,99.6,117.2,142.6,31.662,0.636,0.49,0.058,4.528,1.909,2.742,0.48,10.748,8.737,6.856,2.968,9.054,9.804,4.946,5.291,6.047,10.207,4.248,3.187,0.681,4.773,0.613,0.273
121,103.6,119.3,143.3,31.484,0.21,0.152,0.022,3.906,1.284,2.426,0.376,11.106,8.601,6.67,2.946,9.434,10.162,4.987,5.443,6.372,10.673,4.332,3.424,0.735,5.2,0.625,0.233
122,102.6,119.4,145.5,31.695,0.229,0.167,0.023,3.883,1.241,2.442,0.382,11.131,8.605,6.758,2.967,9.451,10.208,5.066,5.438,6.359,10.598,4.374,3.403,0.687,5.117,0.62,0.222
123,104.6,120.6,146.2,31.52,0.184,0.13,0.018,3.88,1.087,2.565,0.397,11.687,8.989,7.108,3.091,9.375,10.273,4.689,5.305,6.134,10.23,4.252,3.279,0.644,4.904,0.607,0.209
124,104.3,120.4,147.4,32.259,0.158,0.11,0.016,3.62,1.027,2.364,0.372,11.248,8.543,6.861,2.997,9.51,10.33,5.158,5.459,6.368,10.515,4.821,3.369,0.661,5.077,0.628,0.214
125,103.9,119,142.9,31.980999999999998,0.204,0.147,0.02,3.578,1.062,2.36,0.383,11.159,8.479,6.878,3.017,9.565,10.408,5.223,5.536,6.392,10.82,4.443,3.296,0.625,4.958,0.5980000000000001,0.227
126,103.6,119,144.4,31.992000000000004,0.263,0.193,0.025,3.686,1.152,2.439,0.403,11.187,8.582,6.949,3.042,9.456,10.328,5.202,5.487,6.28,10.694,4.388,3.246,0.618,4.912,0.594,0.217
127,101.6,118.5,143.3,31.982999999999997,0.478,0.365,0.045,4.084,1.57,2.584,0.445,10.898,8.602,6.917,3.011,9.263,10.094,5.151,5.43,6.164,10.533,4.378,3.179,0.619,4.743,0.5960000000000001,0.247
