,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
2920,95.9,116,142.3,50.331,1.5699999999999998,1.0839999999999999,0.258,2.92,2.6679999999999997,5.065,0.484,5.195,4.515,15.064,3.299,7.019,6.8919999999999995,9.98,6.161,3.831,7.918,6.041,2.92,0.929,4.644000000000001,0.722,0.33699999999999997
2921,96.5,112.5,139.3,50.062999999999995,1.9929999999999999,1.283,0.282,3.062,2.7960000000000003,5.705,0.609,5.364,5.295,15.907,3.323,6.357,6.583,9.497,5.556,3.423,7.981,5.297,2.646,0.826,4.428000000000001,0.748,0.49300000000000005
2922,87.5,108.3,140.1,51.739,2.9450000000000003,1.752,0.347,3.285,3.12,7.244,0.886,5.42,6.779,18.255,3.409,4.774,5.79,8.659,4.312,2.404,7.0889999999999995,4.966,2.032,0.611,3.6069999999999993,0.8410000000000001,0.788
2923,87.3,108.1,141.1,51.739999999999995,3.019,1.7939999999999998,0.352,3.302,3.145,7.311,0.898,5.419,6.837,18.332,3.409,4.702,5.744,8.615,4.254,2.358,7.0329999999999995,4.934,2.003,0.604,3.588,0.8440000000000001,0.788
2924,87.2,108.2,141.4,53.02499999999999,2.989,1.7719999999999998,0.35,3.297,3.133,7.288,0.892,5.429,6.834,18.298,3.402,4.717,4.437,9.912,4.257,2.372,7.058999999999999,4.943,2.01,0.608,3.607,0.8490000000000001,0.824
2925,87.2,108.6,141.9,52.873999999999995,3.043,1.801,0.353,3.32,3.15,7.332,0.904,5.461,6.9,18.316,3.408,4.679,4.443,9.787,4.215,2.35,7.032,4.915,1.989,0.598,3.5799999999999996,0.8470000000000001,0.808
2926,86.1,107.2,140.6,52.85000000000001,3.1879999999999997,1.8789999999999998,0.362,3.333,3.194,7.567,0.947,5.433,7.091,18.725,3.43,4.432,4.388999999999999,9.621,3.246,2.186,7.133,5.369,1.898,0.562,3.495,0.8530000000000001,0.8320000000000001
2927,85.9,106.9,139.2,52.557,3.255,1.9059999999999997,0.362,3.405,3.2270000000000003,7.454,0.937,5.533,7.1080000000000005,18.364,3.393,4.512,4.444999999999999,9.563,4.034,2.262,6.930000000000001,4.821,1.916,0.58,3.532,0.8560000000000001,0.857
2928,85.1,108.4,143.3,48.887,3.419,1.95,0.362,3.698,3.355,6.838,0.85,5.898,6.984999999999999,16.569,3.199,4.964,5.614,8.3,4.051,2.672,7.303999999999999,4.759,2.06,0.696,3.76,0.8790000000000001,1.02
2929,85.6,108,141.1,50.89,3.303,1.892,0.359,3.323,3.1229999999999998,7.544,0.843,5.604,7.0729999999999995,17.957,3.506,4.419,5.371,8.183,3.189,2.302,7.281,5.377,1.929,0.594,3.804,0.9410000000000001,1.062
2930,80.8,111.4,148.4,43.050999999999995,4.837,2.711,0.438,4.45,4.109,5.461,0.614,6.336,6.333,11.838,2.609,5.739,6.356,8.472,3.982,3.457,5.658,4.701,2.297,1.029,4.648,0.935,1.7040000000000002
2931,87.4,107.4,142.6,54.009,3.007,1.748,0.336,2.842,2.717,8.193,0.856,5.419,7.238,19.463,3.851,4.012,5.255,8.131,3.244,1.983,6.529,6.01,1.806,0.40800000000000003,3.6130000000000004,0.9610000000000001,1.158
2932,87.4,108.4,142.3,51.363,2.9819999999999998,1.714,0.323,3.179,2.813,7.405,0.816,5.918,7.196000000000001,17.646,3.616,4.688,5.561,8.08,4.173,2.485,6.75,5.369,1.973,0.518,3.8,0.9139999999999999,1.048
2933,84.7,108.7,143.4,47.979,3.585,2.009,0.362,3.816,3.389,6.598,0.791,6.102,6.947,15.64,3.142,5.139,5.647,8.011,4.04,2.859,6.627,5.24,2.108,0.718,4.221,0.879,1.1680000000000001
2934,85.9,106.7,140.7,53.643,3.279,1.89,0.357,2.986,2.9170000000000003,8.159,0.861,5.328,7.163,19.315,3.753,3.964,5.187,8.129,3.188,1.961,6.438,5.964,1.797,0.453,3.6269999999999993,0.9640000000000001,1.1560000000000001
2935,103.3,119.8,144.2,33.087,0.136,0.08399999999999999,0.018,3.952,1.257,2.523,0.761,10.623,7.829,6.905,3.157,9.894,10.652999999999999,5.44,5.574,6.233,10.34,5.061,3.035,0.753,4.644,0.33399999999999996,0.279
2936,101.8,119.2,144.8,33.795,0.297,0.184,0.035,3.983,1.355,2.693,1.45,10.466,7.813,7.106,3.198,9.687,10.536,5.323,5.569,6.069,10.088000000000001,4.933,2.854,0.732,4.427,0.37,0.264
2937,101.2,118.6,143.2,34.497,0.353,0.223,0.041,3.944,1.3559999999999999,2.727,2.008,10.362,7.753,7.102,3.245,9.547,10.322999999999999,5.34,5.589,5.989,9.966000000000001,4.885,2.909,0.726,4.441,0.38,0.271
2938,101.6,118.2,141.6,34.397,0.28300000000000003,0.181,0.033,3.906,1.296,2.629,1.968,10.397,7.731999999999999,6.949,3.242,9.6,10.366999999999999,5.316,5.806,6.049,10.033000000000001,4.902,2.961,0.736,4.5009999999999994,0.31899999999999995,0.272
2939,101.8,118.1,142.6,33.699,0.25,0.157,0.03,3.951,1.308,2.616,1.484,10.48,7.785,6.968,3.207,9.715,10.563,5.282,5.639,6.111,10.126,4.941,2.876,0.74,4.519,0.385,0.271
2940,101.6,118.2,143.1,33.95,0.258,0.162,0.03,3.949,1.303,2.623,1.632,10.502,7.798,6.965,3.186,9.702,10.456,5.348,5.592,6.102,10.094,4.925,2.871,0.739,4.391,0.507,0.271
2941,101.1,113.2,143.5,34.049,0.31,0.196,0.036,3.956,1.325,2.678,1.872,10.479,7.7989999999999995,7.027,3.169,9.64,10.479000000000001,5.206,5.574,6.067,10.021,4.88,2.861,0.73,4.319000000000001,0.486,0.26
2942,101.3,118.2,143.5,33.889,0.304,0.191,0.036,3.957,1.322,2.682,1.794,10.505,7.814,7.034,3.166,9.657,10.488999999999999,5.234,5.562,6.08,10.024,4.889,2.898,0.732,4.252000000000001,0.335,0.259
2943,101.4,118.1,143.9,33.637,0.284,0.178,0.033,3.964,1.3079999999999998,2.66,1.645,10.553,7.831,7.001,3.152,9.698,10.52,5.231,5.554,6.118,10.106,4.76,2.887,0.738,4.3420000000000005,0.44,0.274
2944,101.3,118,142.1,34.922000000000004,0.28099999999999997,0.176,0.033,3.963,1.305,2.654,1.639,10.562,7.827,6.989,3.152,9.702,10.338999999999999,6.438,5.554,6.117,8.921,4.905,2.994,0.739,4.5440000000000005,0.294,0.27
2945,102.4,119,144.6,34.317,0.087,0.06,0.011,3.924,1.142,2.344,1.967,10.777,7.81,6.507,3.062,9.92,10.484,6.358,5.565,6.324,9.075000000000001,4.936,2.974,0.763,4.637,0.323,0.27
2946,102.4,119.3,144.3,34.178,0.10200000000000001,0.068,0.014,3.979,1.2,2.39,1.665,10.75,7.821000000000001,6.651,3.054,9.851,10.535,6.332,5.506,6.297,9.089,4.967,3.006,0.791,4.654,0.324,0.269
